EG	ECK	Gene	Syn	Protein	GI	SP	b#	
EG14117	ECK2325	smrB	yfcN	putative DNA endonuclease	1788671	P0A8B2	b2331
EG14118	ECK2326	yfcO	None	DUF2544 family putative outer membrane protein	87082086	P76498	b2332
EG14119	ECK2327	yfcP	None	putative fimbrial-like adhesin protein	1788674	P76499	b2333
EG14120	ECK2328	yfcQ	None	putative fimbrial-like adhesin protein	1788675	P76500	b2334
EG14121	ECK2329	yfcR	None	putative fimbrial-like adhesin protein	1788676	P76501	b2335
EG14122	ECK2330	yfcS	None	putative periplasmic pilin chaperone	1788677	P77599	b2336
EG14124	ECK2332	yfcU'	yfcT	pseudogene, FimD fimbrial export usher family	1788678	P77196	b4661
EG14125	ECK2333	yfcV	None	putative fimbrial-like adhesin protein	1788680	P77288	b2339
EG14126	ECK2334	sixA	yfcW	phosphohistidine phosphatase	; 1788681	P76502	b2340
EG14127	ECK2335	fadJ	yfcX	enoyl-CoA hydratase/epimerase and isomerase/3-hydroxyacyl-CoA dehydrogenase	; 1788682	P77399	b2341
EG14128	ECK2336	fadI	yfcY	beta-ketoacyl-CoA thiolase, anaerobic, subunit	; 1788683	P76503	b2342
EG14129	ECK2337	yfcZ	None	UPF0381 family protein	87082087	P0AD33	b2343
EG14130	ECK2339	yfdF	None	uncharacterized protein	1788687	P76505	b2345
EG14131	ECK2344	gtrA	yfdG	CPS-53 (KpLE1) prophage; bactoprenol-linked glucose translocase/flippase	1788691	P77682	b2350
EG14132	ECK2345	gtrB	yfdH	CPS-53 (KpLE1) prophage; bactoprenol glucosyl transferase	1788692	P77293	b2351
EG14133	ECK2346	gtrS	gtrIV, yfdI	serotype-specific glucosyl transferase, CPS-53 (KpLE1) prophage	1788693	P76507	b2352
EG14134	ECK2347	tfaS'	yfdJ	pseudogene, CPS-53 (KpLE1) prophage; tail fiber assembly protein fragment	87082088	P77326	b2353
EG14135	ECK2348	yfdK	None	CPS-53 (KpLE1) prophage; conserved protein	1788696	P77656	b2354
EG14136	ECK2349	yfdL'	None	pseudogene, CPS-53 (KpLE1) prophage	1788697	P76508	b2355
EG14137	ECK2352	oweS'	yfdO	pseudogene, CPS-53 (KpLE1) prophage; bacteriophage replication protein O family	1788700	P0AD35	b2358
EG14138	ECK2353	yfdP	None	CPS-53 (KpLE1) prophage; uncharacterized protein	1788701	P76512	b2359
EG14139	ECK2354	yfdQ	None	CPS-53 (KpLE1) prophage; uncharacterized protein	1788702	P76513	b2360
EG14140	ECK2355	yfdR	None	CPS-53 (KpLE1) prophage; conserved protein	87082090	P76514	b2361
EG14141	ECK2356	yfdS	None	CPS-53 (KpLE1) prophage; uncharacterized protein	1788704	P76515	b2362
EG14142	ECK2357	yfdT	None	CPS-53 (KpLE1) prophage; uncharacterized protein	1788705	P76516	b2363
EG14143	ECK2369	oxc	yfdU	oxalyl CoA decarboxylase, ThDP-dependent	1788716	P0AFI0	b2373
EG14144	ECK2368	yfdV	None	putative transporter	1788715	P0AA49	b2372
EG14145	ECK2370	frc	yfdW	formyl-CoA transferase, NAD(P)-binding	; 1788717	P69902	b2374
EG14146	ECK2371	yfdX	None	uncharacterized protein	1788719	P76520	b2375
EG14147	ECK2373	yfdY	None	DUF2545 family putative inner membrane protein	1788720	P76521	b2377
EG14148	ECK2376	ypdA	None	sensor kinase regulating yhjX; pyruvate-responsive YpdAB two-component system	; 1788723	P0AA93	b2380
EG14149	ECK2377	ypdB	None	response regulator activating yhjX; pyruvate-responsive YpdAB two-component system	; 1788724	P0AE39	b2381
EG14150	ECK2378	ypdC	None	putative DNA-binding protein	1788725	P77396	b2382
EG14151	ECK2379	fryA	ypdD	putative PTS enzyme: Hpr, enzyme I and IIA components	1788726	P77439	b2383
EG14152	ECK2380	ypdE	None	aminopeptidase	1788727	P77585	b2384
EG14153	ECK2381	ypdF	None	Xaa-Pro aminopeptidase	1788728	P76524	b2385
EG14154	ECK2382	fryC	ypdG	putative enzyme IIC component of PTS	1788729	P77579	b2386
EG14155	ECK2383	fryB	ypdH	putative enzyme IIB component of PTS	1788730	P69808	b2387
EG14156	ECK2385	yfeO	None	putative ion channel protein	1788733	P67729	b2389
EG14157	ECK2387	mntH	mntA, yfeP	manganese/divalent cation transporter	; 1788736	P0A769	b2392
EG14158	ECK0677	ybfP	None	lipoprotein	1786905	P75737	b0689
EG14159	ECK2403	yfeR	osmT(S.t.)	transcriptional regulator of yefH	1788748	P0ACR7	b2409
EG14160	ECK2415	yfeS	None	WGR domain protein	1788760	P78271	b2420
EG14161	ECK2422	murR	yfeT	repressor for murPQ, MurNAc 6-P inducible	1788767	P77245	b2427
EG14162	ECK2423	murQ	yfeU	N-acetylmuramic acid 6-phosphate (MurNAc-6-P) etherase	1788768	P76535	b2428
EG14163	ECK2424	murP	yfeV	N-acetylmuramic acid permease, EIIBC component, PTS system	; 1788769	P77272	b2429
EG14164	ECK2425	yfeW	pbp4B	penicillin binding protein PBP4B; weak DD-carboxypeptidase activity	87082101	P77619	b2430
EG14165	ECK2426	yfeX	None	porphyrinogen oxidase, cytoplasmic	87082102	P76536	b2431
EG14166	ECK2427	yfeY	None	RpoE-regulated lipoprotein	1788772	P76537	b2432
EG14167	ECK2428	yfeZ	None	inner membrane protein	87082103	P76538	b2433
EG14168	ECK2429	ypeA	None	GNAT family putative N-acetyltransferase	87082104	P76539	b2434
EG14169	ECK2407	zipA	None	FtsZ stabilizer	; 1788752	P77173	b2412
EG14170	ECK2433	eutK	yffI	putative ethanol utilization carboxysome structural protein 	87082105	P76540	b2438
EG14171	ECK2434	eutL	yffJ	putative ethanol utilization carboxysome structural protein 	1788780	P76541	b2439
EG14172	ECK2437	intZ	None	CPZ-55 prophage; putative phage integrase	1788783	P76542	b2442
EG14173	ECK2438	yffL	None	CPZ-55 prophage; uncharacterized protein	1788784	P76543	b2443
EG14174	ECK2439	yffM	None	CPZ-55 prophage; uncharacterized protein	1788785	P76544	b2444
EG14175	ECK2440	yffN	None	CPZ-55 prophage; uncharacterized protein	1788786	P76545	b2445
EG14176	ECK2441	yffO	None	CPZ-55 prophage; uncharacterized protein	1788787	P76546	b2446
EG14177	ECK2442	yffP	None	CPZ-55 prophage; uncharacterized protein	1788788	P76547	b2447
EG14178	ECK2443	yffQ	None	CPZ-55 prophage; uncharacterized protein	1788790	P76548	b2448
EG14179	ECK2444	yffR	None	CPZ-55 prophage; uncharacterized protein	1788791	P76549	b2449
EG14180	ECK2445	yffS	None	CPZ-55 prophage; uncharacterized protein	1788792	P76550	b2450
EG14181	ECK2446	eutA	yffT	reactivating factor for ethanolamine ammonia lyase	1788793	P76551	b2451
EG14182	ECK2447	eutH	yffU	ethanolamine transporter	1788794	P76552	b2452
EG14183	ECK2448	eutG	yffV	ethanol dehydrogenase involved in ethanolamine utilization; aldehyde reductase	87082107	P76553	b2453
EG14184	ECK2449	eutJ	yffW	ethanolamine utilization protein, HSP70/actin superfamily protein	1788796	P77277	b2454
EG14185	ECK2450	eutE	yffX	aldehyde oxidoreductase, ethanolamine utilization protein	1788797	P77445	b2455
EG14186	ECK2451	eutN	cchB, yffY	Ethanolamine catabolic microcompartment shell protein	1788798	P0AEJ8	b2456
EG14187	ECK2452	eutM	cchA, yffZ	ethanolamine utilization protein, putative carboxysome structural protein	87082108	P0ABF4	b2457
EG14188	ECK2453	eutD	eutI, ypfA	phosphate acetyltransferase	1788800	P77218	b2458
EG14189	ECK2454	eutT	ypfB	cobalamin adenosyltransferase involved in ethanolamine utilization	1788801	P65643	b2459
EG14190	ECK2455	eutQ	ypfC	RmlC-like cupin domain protein	1788802	P76555	b2460
EG14191	ECK2456	eutP	ypfD	putative P-loop NTPase ethanolamine utilization protein	1788803	P76556	b2461
EG14192	ECK2457	eutS	ypfE	putative ethanol utilization carboxysome structural protein 	87082109	P63746	b2462
EG14193	ECK2458	maeB	ypfF	malic enzyme: putative oxidoreductase/phosphotransacetylase	1788806	P76558	b2463
EG14194	ECK2461	ypfG	None	DUF1176 family protein	1788809	P76559	b2466
EG14195	ECK2469	ypfH	None	palmitoyl-CoA esterase activity, uncertain physiological substrate	87082111	P76561	b2473
EG14196	ECK2470	tmcA	ypfI	elongator methionine tRNA (ac4C34) acetyltransferase	1788818	P76562	b2474
EG14197	ECK2471	ypfJ	None	putative neutral zinc metallopeptidase	1788819	P64429	b2475
EG14198	ECK2375	alaC	yfdZ	glutamate-pyruvate aminotransferase; glutamic-pyruvic transaminase (GPT); alanine transaminase	1788722	P77434	b2379
EG14199	ECK2490	bepA	yfgC	OM protein maintenance and assembly metalloprotease and chaperone, periplasmic	1788840	P66948	b2494
EG14200	ECK2491	yfgD	None	putative oxidoreductase	1788841	P76569	b2495
EG14201	ECK2492	hda	idaB, yfgE	ATPase regulatory factor involved in DnaA inactivation	; 1788842	P69931	b2496
EG14202	ECK2499	yfgF	None	cyclic-di-GMP phosphodiesterase, anaerobic	1788849	P77172	b2503
EG14203	ECK2500	yfgG	None	uncharacterized protein	1788851	P64545	b2504
EG14204	ECK2501	yfgH	None	outer membrane integrity lipoprotein	1788852	P65290	b2505
EG14205	ECK2502	yfgI	None	nalidixic acid resistance protein, putative periplasmic protein	1788853	P76573	b2506
EG14206	ECK2506	yfgJ	None	DUF1407 family protein	87082119	P76575	b2510
EG14207	ECK2507	der	engA, yfgK	GTPase; multicopy suppressor of ftsJ	; 87082120	P0A6P5	b2511
EG14208	ECK2508	bamB	yfgL	BamABCDE complex OM biogenesis lipoprotein	; 1788859	P77774	b2512
EG14209	ECK2509	yfgM	None	ancillary SecYEG translocon subunit; putative anti-RcsB factor	1788860	P76576	b2513
EG14210	ECK2515	pbpC	yfgN	penicillin-insensitive murein repair transglycosylase; inactive transpeptidase domain protein	1788867	P76577	b2519
EG14211	ECK2479	hyfC	None	hydrogenase 4, membrane subunit	; 87082115	P77858	b2483
EG14212	ECK2480	hyfD	None	hydrogenase 4, membrane subunit	; 1788829	P77416	b2484
EG14213	ECK2481	hyfE	None	hydrogenase 4, membrane subunit	; 1788830	P0AEW1	b2485
EG14214	ECK2482	hyfF	None	hydrogenase 4, membrane subunit	; 1788831	P77437	b2486
EG14215	ECK2483	hyfG	None	hydrogenase 4, subunit	; 1788832	P77329	b2487
EG14216	ECK2484	hyfH	None	hydrogenase 4, Fe-S subunit	; 1788833	P77423	b2488
EG14217	ECK2485	hyfI	None	hydrogenase 4, Fe-S subunit	; 1788834	P77668	b2489
EG14218	ECK2486	hyfJ	None	putative processing element hydrogenase 4	; 87082116	P77453	b2490
EG14219	ECK2487	hyfR	None	hydrogenase-4 transcriptional activator	; 87082117	P71229	b2491
EG14220	ECK2488	focB	None	putative formate transporter	; 1788837	P77733	b2492
EG14221	ECK2489	yfgO	perM	putative UPF0118 family inner membrane permease	1788838	P0AFI9	b2493
EG14222	ECK2593	bamD	ecfD, yfiO	BamABCDE complex OM biogenesis lipoprotein	; 1788947	P0AC02	b2595
EG14223	ECK2581	yfiP	None	DTW domain protein	87082133	Q47319	b2583
EG14224	ECK2582	pka	pat (S.t.), patZ, yfiQ	protein lysine acetyltransferase	1788938	P76594	b2584
EG14225	ECK2600	yfiR	None	putative periplasmic inhibitor of YfiN activity	1788955	P64548	b2603
EG14226	ECK2608	ypjD	corE(S.t.)	cytochrome c assembly protein family inner membrane protein	1788964	P64432	b2611
EG14228	ECK3035	yqiG'	None	pseudogene; fimbrial export usher family	48994919	P76655	b3046
EG14229	ECK3036	yqiH	None	putative periplasmic pilin chaperone	87082203	P77616	b3047
EG14230	ECK3037	yqiI	None	fimbrial protein	1789427	P76656	b3048
EG14231	ECK3039	yqiJ	None	DUF1449 family inner membrane protein	1789429	P76657	b3050
EG14232	ECK3040	yqiK	None	PHB family membrane protein, function unknown	1789430	P77306	b3051
EG14233	ECK0564	cusC	ibeB, silC(S.t.), ylcB	copper/silver efflux system, outer membrane component	; 1786785	P77211	b0572
EG14234	ECK0565	cusF	cusX, silF(S.t.), ylcC	periplasmic copper- and silver-binding protein	; 1786786	P77214	b0573
EG14235	ECK0566	cusB	silB(S.t.), ylcD	copper/silver efflux system, membrane fusion protein	; 1786787	P77239	b0574
EG14236	ECK0356	yaiX'	yaiF	pseudogene, interrupted by IS2A; hexapeptide transferase superfamily	87082443	P75697	b4579
EG14237	ECK0451	ylaB	None	putative membrane-anchored cyclic-di-GMP phosphodiesterase	87081743	P77473	b0457
EG14238	ECK0452	ylaC	None	DUF1449 family inner membrane protein	87081744	P0AAS0	b0458
EG14239	ECK0453	maa	ylaD	maltose O-acetyltransferase	; 1786664	P77791	b0459
EG14240	ECK0459	mscK	aefA, kefA, pnuH(S.t.)	mechanosensitive channel protein, intermediate conductance, K+ regulated	; 1786670	P77338	b0465
EG14241	ECK0872	clpS	yljA	regulatory protein for ClpA substrate specificity	; 1787108	P0A8Q6	b0881
EG14243	ECK0980	cspG	cspI	cold shock protein homolog, cold-inducible	; 2367114	P0A978	b0990
EG14244	ECK1148	ycgX	None	DUF1398 family protein	1787408	P75988	b1161
EG14245	ECK1127	xisE	Vxis, ymfG	e14 prophage; putative excisionase	; 1787387	P75970	b1141
EG14247	ECK1129	ymfI	None	e14 prophage; uncharacterized protein	87081839	P75972	b1143
EG14248	ECK1130	ymfJ	None	e14 prophage; uncharacterized protein	87081840	P75973	b1144
EG14249	ECK1131	cohE	ymfK	e14 prophage; repressor protein phage e14	1787391	P75974	b1145
EG14250	ECK1133	ymfL	None	e14 prophage; putative DNA-binding transcriptional regulator	1787393	P75976	b1147
EG14251	ECK1134	ymfM	None	e14 prophage; uncharacterized protein	1787394	P75977	b1148
EG14252	ECK1135	aaaE'	ymfN	pseudogene, phage terminase protein A family, e14 prophage	1787395	P75978	b4693
EG14253	ECK1137	beeE'	ymfO	pseudogene, portal protein family, e14 prophage	1787397	P75980	b1151
EG14254	ECK1138	jayE'	ymfP	pseudogene, e14 prophage	87081842	P75981	b1152
EG14255	ECK1139	ymfQ	None	prohage e14 tail protein homolog	1787399	P75982	b1153
EG14256	ECK1242	yciU	None	UPF0263 family protein	87081860	P0A8L7	b1248
EG14257	ECK1260	yciV	trpH	PHP domain protein	1787520	P77766	b1266
EG14258	ECK1452	yncI'	yncM	pseudogene	1787731	P76119	b1459
EG14259	ECK1934	intG'	None	pseudogene, phage integrase family	1788246	P76323	b1936
EG14260	ECK2262	rbn	ecoZ, elaC, rnz, zipD	RNase BN, tRNA processing enzyme	87082078	P0A8V0	b2268
EG14261	ECK2263	elaD	None	protease, capable of cleaving an AMC-ubiquitin model substrate	1788604	Q47013	b2269
EG14262	ECK1282	yciW	None	putative oxidoreductase	87081868	P76035	b1287
EG14263	ECK2297	folX	None	D-erythro-7,8-dihydroneopterin triphosphate 2'-epimerase and dihydroneopterin aldolase	; 1788641	P0AC19	b2303
EG14264	ECK1982	cbl	None	ssuEADCB/tauABCD operon transcriptional activator	; 1788296	Q47083	b1987
EG14265	ECK1983	nac	None	nitrogen assimilation regulon transcriptional regulator; autorepressor	; 1788297	Q47005	b1988
EG14266	ECK1058	flgB	flbA	flagellar component of cell-proximal portion of basal-body rod	; 1787313	P0ABW9	b1073
EG14267	ECK1059	flgC	flaW	flagellar component of cell-proximal portion of basal-body rod	; 1787314	P0ABX2	b1074
EG14268	ECK1060	flgD	flaV	flagellar hook assembly protein	; 1787315	P75936	b1075
EG14269	ECK1061	flgE	flaK	flagellar hook protein	; 1787316	P75937	b1076
EG14270	ECK1062	flgF	flaX	flagellar component of cell-proximal portion of basal-body rod	; 1787317	P75938	b1077
EG14271	ECK1063	flgG	flaL	flagellar component of cell-distal portion of basal-body rod	; 1787318	P0ABX5	b1078
EG14272	ECK1066	flgJ	flaZ	bifunctional flagellar rod assembly protein (N-terminal) and beta-N-acetylglucosaminidase (C-terminal)	; 1787321	P75942	b1081
EG14273	ECK1880	flhA	flaH	putative flagellar export pore protein	; 1788187	P76298	b1879
EG14274	ECK0347	mhpD	mhpS	2-keto-4-pentenoate hydratase	; 87081722	P77608	b0350
EG14275	ECK1184	ycgY	None	uncharacterized protein	1787446	P76012	b1196
EG14276	ECK2340	mlaA	vacJ	ABC transporter maintaining OM lipid asymmetry, OM lipoprotein component	; 1788688	P76506	b2346
EG14277	ECK0265	afuB'	fbpB	pseudogene, CP4-6 prophage; ferric iron ABC transporter permease gene fragment	1786458	P75681	b0263
EG14278	ECK0302	rclB	ykgB, ykgI	reactive chlorine species (RCS) stress resistance periplasmic protein	87081716	P75687	b0303
EG14279	ECK0374	yaiY	None	DUF2755 family inner membrane protein	1786577	P0AAP7	b0379
EG14280	ECK0375	yaiZ	None	DUF2754 family putative inner membrane protein	87081730	P0AAQ0	b0380
EG14281	ECK0979	cspH	cspK	stress protein, member of the CspA-family	2367112	P0A982	b0989
EG14282	ECK0387	ykiA'	None	pseudogene	1786591	P75704	b0392
EG14283	ECK0251	ykfF	None	CP4-6 prophage; uncharacterized protein	1786443	P75677	b0249
EG14284	ECK2643	ypjF	None	CP4-57 prophage; toxin of the YpjF-YfjZ toxin-antitoxin system	1788999	Q46953	b2646
EG14285	ECK0495	ylbG'	None	pseudogene, DNA-binding transcriptional regulator homology	87081748	P77688	b0502
EG14286	ECK0539	ninE	None	DLP12 prophage; conserved protein	1786760	Q47270	b0548
EG14287	ECK0908	ycaR	None	peroxide and acid resistance protein, UPF0434 family	1787146	P0AAZ7	b0917
EG14288	ECK1151	ycgZ	None	RcsB connector protein for regulation of biofilm and acid-resistance	1787411	P75991	b1164
EG14289	ECK1152	ymgA	None	RcsB connector protein for regulation of biofilm	1787412	P75992	b1165
EG14290	ECK1153	ariR	ymgB	RcsB connector protein for regulation of biofilm and acid-resistance	1787413	P75993	b1166
EG14291	ECK1154	ymgC	None	blue light, low temperature and stress induced protein	1787414	P75994	b1167
EG14292	ECK1158	ymgD	None	periplasmic protein, HdeA structural homolog	87081849	P0AB46	b1171
EG14293	ECK1201	ychQ	sirB2(S.t.)	SIRB family inner membrane protein	1787464	Q46755	b1213
EG14294	ECK1328	ynaJ	None	DUF2534 family putative inner membrane protein	1787593	P64445	b1332
EG14295	ECK1290	ymjA	None	DUF2543 family protein	1787552	P0ACV8	b1295
EG14296	ECK1363	ynaK	None	Rac prophage; conserved protein	1787628	P76068	b1365
EG14298	ECK1379	ynbE	None	lipoprotein	1787647	P64448	b1382
EG14299	ECK1386	paaB	ynbF	putative ring 1,2-phenylacetyl-CoA epoxidase subunit	1787655	P76078	b1389
EG14300	ECK1430	yncJ	None	uncharacterized protein	1787707	P64459	b1436
EG14301	ECK1475	bdm	yddX	biofilm-dependent modulation protein	; 87081920	P76127	b1481
EG14302	ECK0574	hokE	ybdY	toxic polypeptide, small	48994879	P77091	b4415
EG14303	ECK1621	cnu	ydgT	nucleoid-associated oriC-binding protein; H-NS and StpA stabilizing factor	1787912	P64467	b1625
EG14304	ECK1791	yoaF	None	DUF333 family outer membrane lipoprotein	1788094	P64493	b1793
EG14305	ECK1794	yoaG	None	uncharacterized protein	1788097	P64496	b1796
EG14306	ECK1809	yoaH	None	UPF0181 family protein	1788113	P67338	b1811
EG14307	ECK1955	yodC	None	uncharacterized protein	1788267	P64517	b1957
EG14308	ECK1989	yoeA'	yoeE	CP4-44 prophage; putative disrupted hemin or colicin receptor	87082018	P76356	b4582
EG14309	ECK2080	yegZ'	None	pseudogene, gpD phage P2-like protein D	Null	Null	b2083
EG14310	ECK2645	pinH'	ypjG	pseudogene, invertase resolvase family	1789002	P76611	b2648
EG14313	ECK2660	yqaE	None	cyaR sRNA-regulated protein	1789020	P0AE42	b2666
EG14314	ECK3091	yqjK	None	uncharacterized protein	1789487	Q47710	b3100
EG14315	ECK1366	lomR'	None	pseudogene, Rac prophage lom homolog	1787632	P77184	b4570
EG14316	ECK1878	yecT	None	uncharacterized protein	87081997	P76296	b1877
EG14317	ECK0555	tfaX'	ylcE	pseudogene, DLP12 prophage	2367110	P77087	b0563
EG14319	ECK3562	ysaA	None	putative hydrogenase, 4Fe-4S ferredoxin-type component	2367245	P56256	b3573
EG14320	ECK3785	wecF	rff, rffT, yifM	TDP-Fuc4NAc:lipidIIFuc4NAc transferase	; 48994971	P56258	b4481
EG14321	ECK3824	ysgA	None	putative carboxymethylenebutenolidase	48994982	P56262	b3830
EG14322	ECK3831	tatB	mttA2, ysgB	TatABCE protein translocation system subunit	48994984	P69425	b3838
EG14323	ECK0287	ykgJ	None	UPF0153 cysteine cluster protein	2367105	P0AAL9	b0288
EG14324	ECK0293	ecpR	matA, ykgK	putative transcriptional regulator for the ecp operon	2367106	P71301	b0294
EG14325	ECK0294	ykgL	None	uncharacterized protein	2367107	P56257	b0295
EG14326	ECK0296	ykgM	rpmE2	50S ribosomal protein L31 type B; alternative zinc-limitation L31 protein	2367109	P0A7N1	b0296
EG14327	ECK0493	rhsH'	ylbH	pseudogene, Rhs family C-terminal fragment with unique putative toxin domain	1786708	P77759	b0499
EG14328	ECK0751	acrZ	ybhT	AcrAB-TolC efflux pump accessory protein, membrane-associated	1786977	P0AAW9	b0762
EG14329	ECK0723	cydX	ybgT	cytochrome d (bd-I) ubiquinol oxidase subunit X	87081780	P56100	b4515
EG14330	ECK2641	ypjJ	None	uncharacterized protein	87082144	P58033	b4548
EG14331	ECK0249	ykfG	None	CP4-6 prophage; RadC-like JAB domain protein	2367100	Q47685	b0247
EG14332	ECK0248	ykfH	None	uncharacterized protein	87081704	Q9XB42	b4504
EG14333	ECK0246	ykfI	None	CP4-6 prophage; toxin of the YkfI-YafW toxin-antitoxin system	1786439	P77692	b0245
EG14334	ECK1043	yceO	None	uncharacterized protein	1787297	P64442	b1058
EG14335	ECK1045	bssS	yceP	biofilm regulator	1787299	P0AB33	b1060
EG14336	ECK1136	ymfR	None	e14 prophage; uncharacterized protein	1787396	P75979	b1150
EG14337	ECK1141	tfaP	ymfS	e14 prophage; uncharacterized protein	1787401	P09154	b1155
EG14338	ECK1183	ymgE	tag	UPF0410 family putative inner membrane protein	1787445	P76011	b1195
EG14339	ECK3768	yifN'	yifO	PemK toxin family pseudogene	2367279	P56259	b3777
EG14340	ECK0011	yaaW	None	UPF0174 family protein	; 1786193	P75617	b0011
EG14341	ECK1156	ymgF	None	inner membrane division septum protein	87081846	P58034	b4520
EG14342	ECK4122	ghoT	yjdO	toxin of GhoTS toxin-antitoxin pair; membrane-lytic protein; stimulator of persister cell formation	87082373	P64646	b4559
EG14343	ECK4294	sgcB	None	putative enzyme IIB component of PTS	87082416	P58035	b4565
EG14344	ECK2251	arnE	pbgE2(S.t.), pmrL(S.t.), yfbW	undecaprenyl phosphate-alpha-L-ara4N exporter; flippase ArnEF subunit	87082074	Q47377	b4544
EG14345	ECK4143	ecnB	yjeU	entericidin B membrane lipoprotein	; 48994999	P0ADB7	b4411
EG14346	ECK4439	aaaD'	ylcF	pseudogene; DLP12 prophage; tail fiber assembly protein family	87081759	Null	b4634
EG14348	ECK4440	yibS'	None	pseudogene, Rhs family protein	Null	Null	b4650
EG14349	ECK4441	ylbI'	None	pseudogene, Rhs family protein	Null	Null	b4632
EG14350	ECK4429	yjbS	None	uncharacterized protein	145693212	P58036	b4621
EG14351	ECK1270	yciX	None	uncharacterized protein	87081865	P58094	b4523
EG14352	ECK4442	yrdE'	None	pseudogene, yedZ paralog	Null	Null	b4646
EG14353	ECK0578	ybdZ	mbtH(M.t)	stimulator of EntF adenylation activity, MbtH-like	87081760	P18393	b4511
EG14354	ECK0542	ylcG	None	uncharacterized protein, DLP12 prophage	87081756	Q47272	b4509
EG14355	ECK4398	ylcH	None	uncharacterized protein, DLP12 prophage	145693101	Q47268	b4588
EG14356	ECK2011	yoeB	None	toxin of the YoeB-YefM toxin-antitoxin system	87082025	P69348	b4539
EG14357	ECK1016	ymdE'	None	pseudogene	87081823	Q7DFV4	b1028
EG14358	ECK0996	ymdF	None	KGG family protein	87081817	P56614	b4518
EG14359	ECK1425	insP'	orf1, orfA, tnpA, yncK	pseudogene, IS609 transposase A	Null	Null	b4578
EG14360	ECK1499	yneL'	None	pseudogene, AraC family	1787784	P76138	b1506
EG14362	ECK4443	yoeD'	None	pseudogene, CP4-44 putative prophage remnant	Null	Null	b4642
EG14363	ECK3983	thiS	None	immediate sulfur donor in thiazole formation	; 48994994	O32583	b4407
EG14364	ECK3337	yheV	None	DUF2387 family putative metal-binding protein	87082247	P0ADW8	b4551
EG14366	ECK2405	ypeB	None	DUF3820 family protein	87082098	P0AD40	b4546
EG14367	ECK2082	yegS	None	phosphatidylglycerol kinase, metal-dependent	1788402	P76407	b2086
EG14368	ECK0236	ykfJ'	None	pseudogene	1786430	P75675	b0235
EG14369	ECK3468	yrhC'	None	pseudogene fragment	87082273	Null	b4552
EG14372	ECK4142	ecnA	None	entericidin A membrane lipoprotein, antidote entericidin B	; 48994998	P0ADB4	b4410
EG14373	ECK2698	srlE	gutA, gutE, sbl, srlA	glucitol/sorbitol-specific enzyme IIB component of PTS	; 48994905	P56580	b2703
EG14374	ECK0443	mdlB	mdl	putative multidrug ABC transporter ATPase	; 1786654	P0AAG5	b0449
EG14375	ECK2164	yeiW	None	UPF0153 cysteine cluster protein	87082060	P0AFT8	b4502
EG14376	ECK2372	ypdI	None	putative lipoprotein involved in colanic acid biosynthesis	2367134	O32528	b2376
EG14377	ECK4444	ykfK'	yafY	CP4-6 prophage; putative DNA-binding transcriptional regulator	1786445	Null	b4628
EG14378	ECK4445	ykfL'	None	pseudogene, CP4-6 putative prophage remnant	Null	Null	b4627
EG14379	ECK2631	ypjK	None	CP4-57 prophage; putative inner membrane protein	87082141	P52134	b2635
EG14380	ECK0548	rzoD	Rz1	DLP12 prophage; putative lipoprotein	87081757	P58041	b4510
EG14381	ECK1361	rzoR	Rz1	Rac prophage; putative lipoprotein	87081890	P58042	b4528
EG14382	ECK1822	yobF	None	DUF2527 family heat-induced protein	1788127	P64508	b1824
EG14383	ECK1824	mgrB	yobG	regulatory peptide for PhoPQ, feedback inhibition	1788130	P64512	b1826
EG14384	ECK0005	yaaX	None	DUF2502 family putative periplasmic protein	1786186	P75616	b0005
EG14385	ECK2386	ypeC	None	DUF2502 family putative periplasmic protein	1788734	P64542	b2390
EG14386	ECK0025	yaaY	None	uncharacterized protein	1786207	P75620	b0024
EG14387	ECK1951	yodD	None	uncharacterized protein	87082006	P64519	b1953
EG14388	ECK1545	ynfN	None	Qin prophage; cold shock-induced protein	87081933	P76157	b1551
EG14389	ECK1620	blr	None	beta-lactam resistance membrane protein; divisome-associated protein	48994886	P56976	b4409
EG14393	ECK4405	yciY	None	uncharacterized protein	; 145693122	A5A613	b4595
EG14394	ECK4408	yncL	None	stress-induced small inner membrane enterobacterial protein	145693130	A5A615	b4598
EG14395	ECK4409	yneM	None	inner membrane-associated protein	145693135	A5A616	b4599
EG14396	ECK4415	ypfM	None	stress-induced small enterobacterial protein	145693170	A5A621	b4606
EG14397	ECK3591	yibT	None	uncharacterized protein	87082296	Q2M7R5	b4554
EG14398	ECK4368	ytjA	None	uncharacterized protein	87082438	Q2M5U1	b4568
EG14399	ECK2468	ypfN	None	putative membrane protein, UPF0370 family	87082110	Q2EET2	b4547
EG14400	ECK3549	ysaB	None	uncharacterized protein	87082291	Q2M7M3	b4553
EG14401	ECK4430	ytcA	None	putative inner membrane efflux pump-associated DUF1656 family protein	145693213	A5A630	b4622
EG14402	ECK4427	tisB	ysdA, ysdB	toxic membrane persister formation peptide, LexA-regulated	145693200	A5A627	b4618
EG14403	ECK1204	ldrA	None	toxic polypeptide, small	48994880	Q6BF86	b4419
EG14404	ECK1206	ldrB	None	toxic polypeptide, small	48994881	Q6BF87	b4421
EG14405	ECK1208	ldrC	None	toxic polypeptide, small	48994882	Q6BF86	b4423
EG14406	ECK3524	ldrD	None	toxic polypeptide, small	48994945	Q6BF25	b4453
