,LocusTag,Length,Entry,EntryName,Status,ProteinNames,GeneNames,LocusTag,UpdatedSymbol,Symbol_gtf,x77459_Emp1_1,x77460_Emp2_2,x77461_Emp3_3,x77456_TosR1_1,x77457_TosR2_2,x77458_TosR3_3,logFC,logCPM,LR,PValue,FDR,DE
2430,c4297,693,A0A0H2VEE6,A0A0H2VEE6_ECOL6,unreviewed,Oligopeptidase A (EC 3.4.24.70),prlC c4297,c4297,prlC,prlC,15.81347892,14.99891301,17.04261493,11.03120325,11.99060761,21.22417901,-0.112458804,3.955586437,0.098548589,0.753578386,0.93698434,no
1558,c2829,147,P0AFC4,NUOA_ECOL6,reviewed,NADH-quinone oxidoreductase subunit A (EC 1.6.5.11) (NADH dehydrogenase I subunit A) (NDH-1 subunit A) (NUO1),nuoA c2829,c2829,nuoA,nuoA,49.75792935,40.5479089,26.71218368,36.03911427,39.04258819,33.7834409,-0.104505086,5.240673688,0.096167132,0.756478632,0.9373055,no
3052,c5440,245,P0AEF1,DNAC_ECOL6,reviewed,DNA replication protein DnaC,dnaC c5440,c5440,dnaC,dnaC,6.27086233,4.131056549,3.746957892,4.562644275,4.825488428,3.602268914,-0.112894859,2.223496953,0.09629511,0.75632178,0.9373055,no
993,c1816,327,P64424,ZNTB_ECOL6,reviewed,Zinc transport protein ZntB,zntB c1816,c1816,zntB,ydaN,16.49509439,25.04055816,20.18522477,25.46995095,10.67456531,20.54266867,-0.117636097,4.326438607,0.097801028,0.754484617,0.9373055,no
1930,c3505,339,P0A9B7,E4PD_ECOL6,reviewed,D-erythrose-4-phosphate dehydrogenase (E4PDH) (EC 1.2.1.72),epd c3505,c3505,epd,epd,95.28984279,90.9467988,92.10264238,95.23797987,91.09937244,72.82424723,-0.102774185,6.488048705,0.097430421,0.754935295,0.9373055,no
500,c0875,368,A0A0H2V7I5,A0A0H2V7I5_ECOL6,unreviewed,Transport permease protein,ybhR c0875,c0875,ybhR,ybhR,2.3174926,1.65242262,2.05478336,1.963669688,1.754723065,1.655096528,-0.123335078,1.047604404,0.096718647,0.755803498,0.9373055,no
1383,c2514,390,A0A0H2V8R4,A0A0H2V8R4_ECOL6,unreviewed,Uncharacterized protein,c2514,c2514,,c2514,4.226015918,2.287969781,4.23043633,3.465299449,2.924538441,3.212834437,-0.118443647,1.820869521,0.096600207,0.755948307,0.9373055,no
2581,c4597,396,A0A0H2VE30,A0A0H2VE30_ECOL6,unreviewed,Multidrug resistance protein D,emrD c4597,c4597,emrD,emrD,8.58835493,6.037698034,5.922610862,4.562644275,14.76891913,3.796986153,0.15209929,2.863131735,0.097701624,0.754605405,0.9373055,no
1043,c1940,440,Q8FHF4,HIPA_ECOL6,reviewed,Serine/threonine-protein kinase HipA (Ser/Thr-protein kinase HipA) (EC 2.7.11.1) (Toxin HipA),hipA c1940,c1940,hipA,hipA,7.634093271,12.13895078,12.57043938,12.82160796,8.334934557,8.664917117,-0.112672882,3.409510602,0.096183883,0.756458096,0.9373055,no
2960,c5254,615,Q8FAK9,MUTL_ECOL6,reviewed,DNA mismatch repair protein MutL,mutL c5254,c5254,mutL,mutL,29.44578833,26.7565355,26.47044446,29.16627037,35.8255959,23.75550311,0.100570749,4.843604914,0.096354074,0.756249551,0.9373055,no
1639,c2968,141,P63420,YPEA_ECOL6,reviewed,Acetyltransferase YpeA (EC 2.3.1.-),ypeA c2968,c2968,ypeA,ypeA,5.316600671,6.92746406,8.34000305,7.73916877,9.212296089,5.452082681,0.113170538,2.874735072,0.094453697,0.758589766,0.939245578,no
717,c1262,NA,NA,NA,NA,NA,NA,NA,NA,c1262,2.726461882,1.779532052,1.933913751,2.541219596,1.754723065,2.433965482,0.120093959,1.252064311,0.094418992,0.758632742,0.939245578,no
2152,c3904,191,P64597,YRAP_ECOL6,reviewed,Uncharacterized protein YraP,yraP c3904,c3904,yraP,yraP,11.04217062,9.469652706,11.6034825,8.489983651,12.13683453,9.346427452,-0.104915452,3.387403333,0.093985697,0.75917003,0.939546475,no
592,c1034,241,A0A0H2V7V2,A0A0H2V7V2_ECOL6,unreviewed,Protein ycaC,ycaC c1034,c1034,ycaC,ycaC,5.043954482,3.368399956,2.780001017,3.292034477,1.023588454,5.5494413,-0.147113836,1.896281415,0.093403079,0.75989462,0.940078854,no
2309,c4112,704,P0A6M9,EFG_ECOL6,reviewed,Elongation factor G (EF-G),fusA far fus c4112,c4112,"fusA,far,fus",fusA,852.2919844,1250.248376,866.7559691,734.4702183,719.8751372,1282.407733,-0.117719572,9.893689177,0.092810824,0.760633733,0.94062878,no
1265,c2300,40,A0A0H2V881,A0A0H2V881_ECOL6,unreviewed,Uncharacterized protein,c2300,c2300,,c2300,5.316600671,3.241290523,4.593045158,6.295294,3.216992285,4.283779249,0.115947611,2.233462667,0.090619753,0.763390742,0.940930054,no
2188,c3948,84,P0A9W7,IBAG_ECOL6,reviewed,Acid stress protein IbaG,ibaG yrbA c3948,c3948,"ibaG,yrbA",yrbA,2.726461882,5.147932008,3.746957892,3.927339376,4.240580739,4.673213726,0.110677217,2.105357655,0.091251262,0.762592421,0.940930054,no
2613,c4662,177,Q8FBT0,ATPD_ECOL6,reviewed,ATP synthase subunit delta (ATP synthase F(1) sector subunit delta) (F-type ATPase subunit delta) (F-ATPase subunit delta),atpH c4662,c4662,atpH,atpH,103.4692284,132.2573643,90.77307667,97.14389457,101.0428031,154.3134116,0.109926103,6.825179737,0.090510214,0.763529524,0.940930054,no
126,c0195,232,P0AF13,MTNN_ECOL6,reviewed,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase (MTA/SAH nucleosidase) (MTAN) (EC 3.2.2.9) (5'-methylthioadenosine nucleosidase) (MTA nucleosidase) (S-adenosylhomocysteine nucleosidase) (AdoHcy nucleosidase) (SAH nucleosidase) (SRH nucleosidase),mtnN c0195,c0195,mtnN,pfs,10.90584753,13.02871681,10.99913446,11.55099816,11.99060761,14.01964118,0.099775422,3.618786036,0.091901118,0.761774049,0.940930054,no
776,c1371,334,A0A0H2V796,A0A0H2V796_ECOL6,unreviewed,"DNA polymerase III, delta' subunit (EC 2.7.7.7)",holB c1371,c1371,holB,holB,3.544400447,3.368399956,2.900870626,2.07917967,3.509446129,5.257365442,0.123294872,1.843624628,0.090852269,0.763096455,0.940930054,no
857,c1575,342,P68649,HEAD_ECOL6,reviewed,P21 prophage-derived major head protein (Head protein gp7),c1575,c1575,,c1575,1.908523318,1.398203755,1.692174532,1.501629761,1.754723065,2.141889625,0.122729447,0.91714701,0.091211408,0.762642714,0.940930054,no
1591,c2875,361,P63609,AROC_ECOL6,reviewed,Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase),aroC c2875,c2875,aroC,aroC,6.543508518,6.037698034,3.867827501,4.562644275,4.240580739,6.425668874,-0.111068397,2.452796103,0.090649445,0.763353138,0.940930054,no
789,c1389,951,A0A0H2V7A9,A0A0H2V7A9_ECOL6,unreviewed,Transcription-repair coupling factor,mfd c1389,c1389,mfd,mfd,13.35966322,13.85492812,13.53739625,11.37773319,9.797203777,16.6483239,-0.10526171,3.733073398,0.092276187,0.761303156,0.940930054,no
585,c1027,1347,Q8FJC7,FTSK_ECOL6,reviewed,DNA translocase FtsK,ftsK c1027,c1027,ftsK,ftsK,67.47993159,81.41359138,75.90611472,81.66555702,82.61821096,76.32915753,0.09744502,6.281165316,0.09135532,0.762461166,0.940930054,no
921,c1697,152,Q8FHX8,YCHJ_ECOL6,reviewed,UPF0225 protein YchJ,ychJ c1697,c1697,ychJ,ychJ,11.04217062,11.05852061,9.790438363,12.12854807,9.066069167,8.37284126,-0.102370273,3.387402148,0.089791203,0.764442765,0.941692033,no
1784,c3215,52,P0AE43,YQAE_ECOL6,reviewed,UPF0057 membrane protein YqaE,yqaE c3215,c3215,yqaE,yqaE,6.407185424,5.211486724,3.505218673,5.197949174,3.509446129,7.496613686,0.112122901,2.442285669,0.081207257,0.775667991,0.941933367,no
936,c1714,57,Q8FHW7,YCIY_ECOL6,reviewed,Uncharacterized protein YciY,yciY c1714,c1714,yciY,c1714,23.44757219,26.50231663,14.02087469,25.23893099,28.5142498,15.48002047,0.109619671,4.485392292,0.086301549,0.768932703,0.941933367,no
105,c0163,65,A0A0H2V458,A0A0H2V458_ECOL6,unreviewed,Uncharacterized protein,c0163,c0163,,c0163,15.54083273,13.66426397,11.48261289,15.82486749,12.28306145,9.73586193,-0.098695482,3.733014629,0.080155539,0.77708674,0.941933367,no
1011,c1850,76,A0A0H2V763,A0A0H2V763_ECOL6,unreviewed,Uncharacterized protein,ydcH c1850,c1850,ydcH,ydcH,20.17581793,22.30770537,34.81044751,27.7223956,19.74063448,35.53589604,0.106139847,4.751156116,0.086433497,0.768761157,0.941933367,no
2754,c4880,81,P0AF37,ZAPB_ECOL6,reviewed,Cell division protein ZapB,zapB yiiU c4880,c4880,"zapB,yiiU",yiiU,233.9304295,230.6400649,178.0409347,243.1485114,208.6658178,238.1391828,0.102627174,7.796439046,0.08079855,0.776218143,0.941933367,no
247,c0449,91,A0A0H2V6R1,A0A0H2V6R1_ECOL6,unreviewed,Uncharacterized protein,yahO c0449,c0449,yahO,yahO,5.316600671,5.719924453,9.790438363,5.544479119,2.485857675,10.70944812,-0.138280433,2.766931268,0.084600141,0.771157604,0.941933367,no
698,c1237,94,A0A0H2V653,A0A0H2V653_ECOL6,unreviewed,Putative F1C and S fimbrial switch Regulatory protein,sfaC c1237,c1237,sfaC,sfaC,3.408077353,3.30484524,4.593045158,3.118769504,4.240580739,4.867930965,0.105420139,2.023360673,0.084851347,0.770827588,0.941933367,no
1696,c3053,107,P0AAC9,ISCA_ECOL6,reviewed,Iron-binding protein IscA (Iron-sulfur cluster assembly protein),iscA c3053,c3053,iscA,yfhF,9.2699704,6.546135763,7.252176565,6.122029027,8.919842245,9.833220549,0.107448313,3.018797102,0.086180475,0.769090238,0.941933367,no
1121,c2074,138,Q8FH55,SUFE_ECOL6,reviewed,Cysteine desulfuration protein SufE,sufE c2074,c2074,sufE,ynhA,2.3174926,1.65242262,2.05478336,2.541219596,0.877361532,2.82339996,0.126648103,1.178295085,0.083690356,0.772357279,0.941933367,no
2608,c4657,139,P0A6E7,ATPE_ECOL6,reviewed,ATP synthase epsilon chain (ATP synthase F1 sector epsilon subunit) (F-ATPase epsilon subunit),atpC papG uncC c4657,c4657,"atpC,papG,uncC",atpC,322.8130869,249.8971439,238.8383482,225.7642591,237.1800676,291.0049131,-0.106095597,8.028276078,0.083953661,0.772009352,0.941933367,no
2218,c3985,142,P0AA11,RL13_ECOL6,reviewed,50S ribosomal protein L13,rplM c3985,c3985,rplM,rplM,216.6173966,353.3642218,241.2557404,183.7763808,385.8928473,313.3000369,0.121515139,8.142181548,0.089046116,0.765393342,0.941933367,no
1477,c2708,190,P0A6N9,EFPL_ECOL6,reviewed,Elongation factor P-like protein,yeiP c2708,c2708,yeiP,yeiP,14.04127869,23.51524497,16.6800061,12.18630306,22.08026523,16.74568252,-0.101926807,4.14662359,0.079119832,0.778493749,0.941933367,no
2931,c5217,191,P0ACU8,YJDC_ECOL6,reviewed,HTH-type transcriptional regulator YjdC,yjdC c5217,c5217,yjdC,yjdC,13.63230941,13.98203755,15.22957079,14.55425769,11.69815376,19.47172386,0.097523514,3.904090142,0.08366185,0.772394982,0.941933367,no
586,c1028,203,P61317,LOLA_ECOL6,reviewed,Outer-membrane lipoprotein carrier protein (P20),lolA lplA c1028,c1028,"lolA,lplA",lolA,21.94801815,20.90950161,15.71304922,18.94363699,15.06137297,20.64002729,-0.097464283,4.254368542,0.08673999,0.768363229,0.941933367,no
1712,c3083,204,A0A0H2V9M0,A0A0H2V9M0_ECOL6,unreviewed,Uncharacterized protein,yfhB c3083,c3083,yfhB,yfhB,4.498662106,6.355471615,7.010437346,7.623658789,3.655673051,5.062648203,-0.108486252,2.578519324,0.079814627,0.777548779,0.941933367,no
2681,c4746,206,P0AG35,RHTB_ECOL6,reviewed,Homoserine/homoserine lactone efflux protein,rhtB c4746,c4746,rhtB,yigK,2.3174926,2.033750917,1.692174532,1.905914697,3.070765363,1.752455147,0.113880674,1.184174859,0.080209642,0.777013512,0.941933367,no
2206,c3969,217,A0A0H2VB48,A0A0H2VB48_ECOL6,unreviewed,Glyoxalase,yhbL c3969,c3969,yhbL,yhbL,27.8099112,25.61255061,32.87653376,30.26361519,17.10854988,32.61513746,-0.103800028,4.804399565,0.088408249,0.766210575,0.941933367,no
644,c1110,219,P0AAC7,YCCA_ECOL6,reviewed,Inner membrane protein YccA,yccA c1110,c1110,yccA,yccA,10.36055515,7.563011221,5.922610862,5.891009064,8.042480713,8.27548264,-0.106254012,2.96439019,0.081837278,0.774822857,0.941933367,no
2797,c4940,234,P0A7L1,RL1_ECOL6,reviewed,50S ribosomal protein L1,rplA c4940,c4940,rplA,rplA,361.9378149,595.4441356,528.3210628,377.313355,474.0676813,525.4444683,-0.110034479,8.898735985,0.08485185,0.770826928,0.941933367,no
415,c0736,241,A0A0H2V794,A0A0H2V794_ECOL6,unreviewed,Glutamate/aspartate transport ATP-binding protein gltL,gltL c0736,c0736,gltL,gltL,17.72200224,6.355471615,6.043480471,11.72426314,5.995303804,9.346427452,-0.133365875,3.27650334,0.086657306,0.768470505,0.941933367,no
2067,c3758,245,A0A0H2VB07,A0A0H2VB07_ECOL6,unreviewed,1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51),plsC c3758,c3758,plsC,plsC,7.497770177,7.372347073,6.406089299,8.027943724,9.212296089,5.744158539,0.105107094,2.915806556,0.086714119,0.768396789,0.941933367,no
173,c0252,246,A0A0H2V657,A0A0H2V657_ECOL6,unreviewed,"DNA polymerase III, epsilon chain (EC 2.7.7.7)",dnaQ c0252,c0252,dnaQ,dnaQ,20.8574334,25.73966004,26.59131407,24.83464605,23.25008061,20.54266867,-0.093450479,4.575396801,0.084858579,0.770818096,0.941933367,no
432,c0765,253,A0A0H2V7B4,A0A0H2V7B4_ECOL6,unreviewed,Putative transcriptional regulator,c0765,c0765,,c0765,5.043954482,3.940392401,3.867827501,5.024684202,5.556623038,3.212834437,0.104594012,2.20120711,0.082162805,0.774387562,0.941933367,no
362,c0621,271,P0ACN5,ALLR_ECOL6,reviewed,HTH-type transcriptional repressor AllR (Negative regulator of allantoin and glyoxylate utilization operons),allR c0621,c0621,allR,ybbU,20.03949484,19.76551672,20.42696399,21.08057165,17.2547768,18.01134457,-0.092765827,4.295226789,0.085005832,0.770624901,0.941933367,no
231,c0414,283,A0A0H2V6L5,A0A0H2V6L5_ECOL6,unreviewed,"2,5-diketo-D-gluconic acid reductase A (EC 1.1.1.-)",c0414,c0414,,c0414,2.590138788,2.415079214,2.538261798,3.52305444,1.316042298,3.018117198,0.115328899,1.491925631,0.079678328,0.777733805,0.941933367,no
1632,c2953,283,Q8FFB5,PDXK_ECOL6,reviewed,Pyridoxine/pyridoxal/pyridoxamine kinase (PN/PL/PM kinase) (EC 2.7.1.35) (B6-vitamer kinase),pdxK c2953,c2953,pdxK,pdxK,5.180277577,4.893713143,4.713914767,4.735909248,3.070765363,8.080765402,0.115733074,2.413358653,0.085004548,0.770626584,0.941933367,no
1065,c1981,284,A0A0H2V7J0,A0A0H2V7J0_ECOL6,unreviewed,Anaerobic dimethyl sulfoxide reductase chain ynfH,ynfH c1981,c1981,ynfH,ynfH,5.043954482,6.800354628,5.439132424,7.854678752,5.70284996,4.965289584,0.101226044,2.636910864,0.079263914,0.778297421,0.941933367,no
2140,c3875,329,P0AGF7,TDCB_ECOL6,reviewed,L-threonine dehydratase catabolic TdcB (EC 4.3.1.19) (L-serine dehydratase) (EC 4.3.1.17) (Threonine deaminase),tdcB c3875,c3875,tdcB,tdcB,4.6349852,4.067501833,7.131306956,6.930598899,0.584907688,6.328310254,-0.161906974,2.38549083,0.082414533,0.774051591,0.941933367,no
1683,c3037,372,P62621,ISPG_ECOL6,reviewed,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin) (EC 1.17.7.3) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase),ispG gcpE c3037,c3037,"ispG,gcpE",gcpE,42.12383608,32.22224109,33.96436025,43.48950809,29.09915749,28.33135822,-0.09715857,5.132542958,0.086101686,0.769192819,0.941933367,no
2520,c4457,425,P0AC76,KDTA_ECOL6,reviewed,3-deoxy-D-manno-octulosonic acid transferase (Kdo transferase) (EC 2.4.99.12) (EC 2.4.99.13) (Bifunctional Kdo transferase) (Kdo-lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase) (Lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase),waaA kdtA c4457,c4457,"waaA,kdtA",kdtA,7.225123988,3.940392401,4.23043633,3.754074404,6.141530726,4.381137868,-0.112217073,2.330126907,0.083876649,0.772111054,0.941933367,no
2369,c4192,438,A0A0H2VBK4,A0A0H2VBK4_ECOL6,unreviewed,High-affinity gluconate transporter,gntT c4192,c4192,gntT,gntT,0.545292376,1.398203755,2.17565297,0.808569872,3.070765363,1.070944812,0.165352595,0.69269157,0.085715549,0.769696295,0.941933367,no
441,c0787,472,A0A0H2V5B5,A0A0H2V5B5_ECOL6,unreviewed,Deoxyribodipyrimidine photolyase (EC 4.1.99.3),phrB c0787,c0787,phrB,phrB,8.724678024,5.974143318,8.944351097,7.508148807,6.43398457,7.788689544,-0.106074204,2.947846897,0.08805587,0.766663417,0.941933367,no
1323,c2380,472,A0A0H2V8A4,A0A0H2V8A4_ECOL6,unreviewed,Cytosine-specific methyltransferase (EC 2.1.1.37),dcm c2380,c2380,dcm,dcm,6.134539235,6.92746406,3.867827501,4.851419229,5.70284996,5.354724061,-0.107418163,2.502906328,0.088581977,0.765987677,0.941933367,no
2210,c3974,472,A0A0H2VB52,A0A0H2VB52_ECOL6,unreviewed,Glutamate synthase [NADPH] small chain (EC 1.4.1.13),gltD c3974,c3974,gltD,gltD,7.906739459,7.563011221,14.02087469,7.392638825,4.533034584,20.54266867,0.145207152,3.395199108,0.08545034,0.770042808,0.941933367,no
2848,c5035,472,A0A0H2VD02,A0A0H2VD02_ECOL6,unreviewed,Dihydrolipoyl dehydrogenase (EC 1.8.1.4),c5035,c5035,,c5035,2.726461882,2.160860349,3.142609845,2.887749541,2.778311519,2.82339996,0.105904766,1.545081453,0.084422609,0.771391153,0.941933367,no
2700,c4790,497,P0AAB5,UBID_ECOL6,reviewed,3-octaprenyl-4-hydroxybenzoate carboxy-lyase (EC 4.1.1.98) (Polyprenyl p-hydroxybenzoate decarboxylase),ubiD c4790,c4790,ubiD,yigC,59.16422285,63.99959916,57.05045565,62.66416504,68.58042644,60.5570612,0.088991792,5.958500462,0.079112569,0.77850365,0.941933367,no
1797,c3245,518,P0A6X0,GSH1_ECOL6,reviewed,Glutamate--cysteine ligase (EC 6.3.2.2) (Gamma-ECS) (GCS) (Gamma-glutamylcysteine synthetase),gshA c3245,c3245,gshA,gshA,59.70951523,70.60928964,65.51132831,68.90170405,40.65108433,73.01896447,-0.099669676,5.984896151,0.083735542,0.77229753,0.941933367,no
1556,c2827,600,Q8FFJ7,NUOCD_ECOL6,reviewed,NADH-quinone oxidoreductase subunit C/D (EC 1.6.5.11) (NADH dehydrogenase I subunit C/D) (NDH-1 subunit C/D),nuoC nuoCD nuoD c2827,c2827,"nuoC,nuoCD,nuoD",nuoC,34.62606591,40.42079947,24.4156611,22.0046515,29.53783825,41.3774132,-0.101636348,5.01140722,0.081580876,0.775166379,0.941933367,no
2236,c4008,646,A0A0H2VDX5,A0A0H2VDX5_ECOL6,unreviewed,Uncharacterized protein,yhdA c4008,c4008,yhdA,yhdA,14.17760179,14.61758471,13.41652665,16.86445732,17.10854988,11.19624122,0.096144587,3.882652696,0.080986944,0.775964363,0.941933367,no
2165,c3920,711,Q8FD87,PNP_ECOL6,reviewed,Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNPase),pnp c3920,c3920,pnp,pnp,211.7097652,180.4318391,181.667023,126.5989399,202.8167409,204.3557419,-0.104717719,7.529055037,0.080213719,0.777007994,0.941933367,no
3050,c5438,763,Q8FA73,OPGB_ECOL6,reviewed,Phosphoglycerol transferase I (EC 2.7.8.20) (Phosphatidylglycerol--membrane-oligosaccharide glycerophosphotransferase),mdoB opgB c5438,c5438,"mdoB,opgB",mdoB,8.179385647,8.452777247,4.834784377,4.562644275,11.55192684,7.593972305,0.119311414,2.931478533,0.080841626,0.776160089,0.941933367,no
2021,c3664,840,A0A0H2VAN5,A0A0H2VAN5_ECOL6,unreviewed,Uncharacterized protein,c3664,c3664,,c3664,2.590138788,3.686173536,3.626088283,2.656729578,3.363219207,3.407551675,-0.102774961,1.766905089,0.082691128,0.773683068,0.941933367,no
3,c0003,841,A0A0H2V3Y0,A0A0H2V3Y0_ECOL6,unreviewed,Aspartokinase I,thrA c0003,c0003,thrA,thrA,7.906739459,9.914535719,9.306959925,8.721003614,5.70284996,10.70944812,-0.104493271,3.162315333,0.082275047,0.774237688,0.941933367,no
957,c1745,891,A0A0H2V9B9,A0A0H2V9B9_ECOL6,unreviewed,Aconitate hydratase (Aconitase) (EC 4.2.1.3),acnA c1745,c1745,acnA,acnA,4.6349852,2.287969781,5.076523596,2.598974587,3.655673051,4.673213726,-0.119812324,1.967246138,0.084220871,0.771656868,0.941933367,no
763,c1353,1061,A0A0H2V8D9,A0A0H2V8D9_ECOL6,unreviewed,Ribonuclease E (RNase E) (EC 3.1.26.12),rne c1353,c1353,rne,rne,64.20817733,54.3392823,43.27132017,53.13459156,49.27847273,49.36081998,-0.091715456,5.712813,0.082098884,0.774472963,0.941933367,no
1688,c3043,1653,A0A0H2V9F4,A0A0H2V9F4_ECOL6,unreviewed,Hypothetical lipoprotein yfhM,yfhM c3043,c3043,yfhM,yfhM,78.9310715,72.51593112,72.15915682,91.13737552,51.61810348,65.71706803,-0.098876285,6.175182621,0.082956249,0.773330461,0.941933367,no
2837,c5016,69,Q8FB32,YJBJ_ECOL6,reviewed,UPF0337 protein YjbJ,yjbJ c5016,c5016,yjbJ,yjbJ,6.679831612,7.245237641,13.53739625,9.933858422,4.825488428,14.89586875,0.122326933,3.285134491,0.078230651,0.779709652,0.942276623,no
2318,c4122,72,P0A8R5,SLYX_ECOL6,reviewed,Protein SlyX,slyX c4122,c4122,slyX,slyX,1.090584753,2.224415065,2.296522579,0.924079853,2.047176909,2.433965482,-0.129162999,0.999343844,0.076419293,0.782209833,0.942276623,no
123,c0191,114,P0ACC4,ERPA_ECOL6,reviewed,Iron-sulfur cluster insertion protein ErpA,erpA c0191,c0191,erpA,yadR,14.45024798,17.22332808,16.43826688,18.2505771,14.03778452,18.88757214,0.09084389,4.068894842,0.075992191,0.782803988,0.942276623,no
1201,c2213,114,P0AEB8,YOAB_ECOL6,reviewed,RutC family protein YoaB,yoaB c2213,c2213,yoaB,yoaB,5.180277577,6.863909344,7.010437346,6.815088917,5.410396116,8.178124021,0.099690766,2.765965457,0.077649016,0.780509039,0.942276623,no
2800,c4943,121,P0A7K3,RL7_ECOL6,reviewed,50S ribosomal protein L7/L12 (L8),rplL c4943,c4943,rplL,rplL,1338.829107,2073.28195,1455.874445,1579.541244,2144.710266,1493.773296,0.10007645,10.71527041,0.075948756,0.782864513,0.942276623,no
2736,c4859,208,A0A0H2VEG7,A0A0H2VEG7_ECOL6,unreviewed,Superoxide dismutase (EC 1.15.1.1),sodA c4859,c4859,sodA,sodA,52.21174505,58.34322942,74.21394018,39.27339376,38.01899973,93.853709,-0.110149092,5.895005551,0.076058373,0.782711804,0.942276623,no
480,c0840,257,A0A0H2V5C8,A0A0H2V5C8_ECOL6,unreviewed,Molybdate-binding periplasmic protein,modA c0840,c0840,modA,modA,21.67537197,22.37126008,18.13044141,22.75546638,15.20759989,20.25059281,-0.090685903,4.343983395,0.076066524,0.782700452,0.942276623,no
1641,c2970,299,Q8FFA3,HEM6_ECOL6,reviewed,Oxygen-dependent coproporphyrinogen-III oxidase (CPO) (Coprogen oxidase) (Coproporphyrinogenase) (EC 1.3.3.3),hemF c2970,c2970,hemF,hemF,3.135431165,2.605743362,1.450435313,1.905914697,2.632084597,2.239248244,-0.112876061,1.315151867,0.077579737,0.780604469,0.942276623,no
1668,c3017,345,Q8FF72,PUR5_ECOL6,reviewed,Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase),purM c3017,c3017,purM,purM,4.907631388,2.542188646,2.05478336,2.425709615,4.240580739,2.141889625,-0.120290808,1.652047373,0.075909775,0.782918847,0.942276623,no
2519,c4456,352,A0A0H2VEU0,A0A0H2VEU0_ECOL6,unreviewed,Lipopolysaccharide core biosynthesis glycosyl transferase rfaQ (EC 2.-.-.-),rfaQ c4456,c4456,rfaQ,rfaQ,10.22423206,10.2323093,7.373046175,9.645083468,13.89155759,6.620386112,0.103916312,3.293803932,0.077757602,0.780359557,0.942276623,no
569,c1001,358,A0A0H2V7T4,A0A0H2V7T4_ECOL6,unreviewed,Uncharacterized protein,c1001,c1001,,c1001,2.3174926,1.970196201,2.17565297,2.194689651,3.363219207,1.557737909,0.112551773,1.263206569,0.076845478,0.781618731,0.942276623,no
3176,c5622,365,P66023,RF2_ECOL6,reviewed,Peptide chain release factor 2 (RF-2),prfB c5622,c5622,prfB,prfB,48.8036677,39.46747873,33.96436025,40.71726853,47.96243043,41.3774132,0.089085152,5.39895535,0.07794774,0.780098077,0.942276623,no
201,c0349,374,A0A0H2V4I9,A0A0H2V4I9_ECOL6,unreviewed,Putative Transposase within prophage,c0349,c0349,,c0349,3.680723541,2.47863393,3.746957892,4.21611433,4.679261506,1.752455147,0.116576253,1.834691205,0.07674698,0.781755187,0.942276623,no
3011,c5341,898,A0A0H2VFB3,A0A0H2VFB3_ECOL6,unreviewed,"Mg(2+) transport ATPase, P-type 1 (EC 3.6.3.2)",mgtA c5341,c5341,mgtA,mgtA,8.861001118,9.596762138,9.548699144,8.547738642,11.99060761,9.541144691,0.092149547,3.296977912,0.076098575,0.782655826,0.942276623,no
2459,c4347,62,A0A0H2VBT0,A0A0H2VBT0_ECOL6,unreviewed,Uncharacterized protein,yhjR c4347,c4347,yhjR,yhjR,8.58835493,11.94828664,8.823481488,9.471818495,9.797203777,8.470199879,-0.09176612,3.283056803,0.074512014,0.784877131,0.943166432,no
847,c1551,96,A0A0H2V6N1,A0A0H2V6N1_ECOL6,unreviewed,Putative exclusion protein ren of prophage,c1551,c1551,,c1551,1.635877129,1.588867904,3.263479454,2.021424679,1.900949987,1.947172386,-0.114922302,1.151300429,0.074328924,0.785135101,0.943166432,no
2862,c5061,229,A0A0H2VD76,A0A0H2VD76_ECOL6,unreviewed,Uncharacterized protein,c5061,c5061,,c5061,3.95336973,4.067501833,6.28521969,3.52305444,4.825488428,5.062648203,-0.100426665,2.249688741,0.075065525,0.784099312,0.943166432,no
1635,c2961,298,Q8FFB0,MURQ_ECOL6,reviewed,N-acetylmuramic acid 6-phosphate etherase (MurNAc-6-P etherase) (EC 4.2.1.126) (N-acetylmuramic acid 6-phosphate hydrolase) (N-acetylmuramic acid 6-phosphate lyase),murQ yfeU c2961,c2961,"murQ,yfeU",yfeU,2.181169506,3.495509388,3.505218673,2.13693466,2.047176909,4.381137868,-0.113893888,1.661224051,0.074448698,0.784966303,0.943166432,no
